49190,63011
49191,69112
49192,69559
50441,67155
50442,64115
51063,77522
73688,76952,79327
73689,78093
73690,76952,79327
81509,76801
81510,76505
81511,76854
100158,62517
100159,74461
100189,77609
100190,77566
100191,77588
100192,77566
100193,77076
100407,68183
100408,69624
100409,69668
100412,62398
100413,64257
100416,64148,64235
100417,64148,64235
100420,64104,64202
100421,64104,64202
100436,77577
100437,74744
100438,67166
100486,67100
100487,67188
100535,74602
100536,77021
100867,72689
100868,74711
100869,74799
100903,74570
100904,77544
100905,74526
101860,62463
101861,64159
102840,19726
102841,19521
104363,68172
104364,69243
112577,64126
116091,72743
116092,74788
120854,74635
120855,74755
124614,77611
124615,74592
124633,19835
124634
124635
125172,69406,69592,69657,76898,79022,79033,79066
125173,69406,69592,69657,76898,79022,79033,79066
125174,69406,69592,69657,76898,79022,79066
125175,69406,69592,69657,76898,79022,79033,79066
126185,64420
126186
126187,72678,74441
126188,74537
126232,30591
126233,30199,30917
126234,30199,30917
126235,30199,30917
126236,30100
126332,27711
126333,17891,17965,22028
126334,17965,22028
126335,17891,17965,22028,22061
126336,27711
126337,22072
126338,17965,22061,27690
126339,22017
126340,17891,17965,22028,22061,27690
126341,17965,22028,22061
126408,29331
126409,28434
126410,29299
126411
126413,19639
126414,19639
126458,28543
126459,29244,29255
126460,29288
126461,27733
126462,27287
126463,27134
126464,27287
126465,27112
126510,27537,29059
126511,27537,29059
126512,17901,27537,29059
126513,17901,27537,29059
126535,28478,29200
126536,27668
126537,27668
126538,29431
126539,28478,29200
126540,27570
126541,22039
126542,17507,17529,17758,17769,17791,17845,17856,17954,19465
126543,17769,17791,17954,19465
126544,17507,17758,17769,17791,17845,17856,17954,19465
126545,17769,17791,17954,19465
126546,17507,17529,17758,17769,17791,17845,17856,17954,19465
126547,17769,17954,19465
126548,17758,17769,17791,17845,17954,19465
126549,17507,17529,17758,17769,17791,17845,17856,17954,19465
126550,17758,17769,17791,17845,17954,19465
126551,17507,17758,17769,17791,17845,17954,19465
126552,17758,17769,17791,17845,17954,19465
126553,17507,17529,17758,17769,17791,17845,17856,17954,19465
126554,17758,17769,17791,17954,19465
126555,17540,17771,17780,17834,19661
126556,17878
126557,17540,17771,17780,19661
126558,17540,17780
126559,17878
126560,19881
126561,17540,17771,17780,17834,19661
126617,17943
126618,17693
126619,17714
126620,17693
126621,17714
126622,17714
126623,19617
126624,19617
126625,19617
126631,29181
126632,27321
126633,27613
126634,27646,27700
126635,27679
126636,29004
126637,27221
126638,27679
126639,27221
126640
126641,27602
126642
126643,29070
126644,29070
127203,19498,19704
127204,19498,19704
127205,19498,19704
127209,57082,57136,58011,58044
127210,50999
127211,50999
127212,50999
127213,57082,57136,58011,58044
127214,57082,57136
127215,57082,58011,58044
127216,57082,57136,57180,58044
127217,58066
127218,50933,57027,57082,57114,57136,57147,57180,58011,58033,58044
127219,50933,57027,57082,57114,57136,57180,58011,58033,58044
127220,50933,57082,57114,57136,57180,58011,58033,58044
127221,57082,57136,57180,58011,58033,58044
127222,57082,57136,57180,58011,58044
127413,62485
127554,74886
127555,74559
127556,68237
127557,69156,69483,69681
127558,69156,69232,69265,69319,69483,69515,69537,69681
127559,69483,69681
127560,69156,69319,69483,69681
127561,69156,69232,69265,69319,69441,69483,69515,69537,69681,76168
127562,68150,69156,69232,69265,69319,69441,69483,69515,69537,69681
127563,68204
127564,69156,69232,69265,69319,69483,69537,69681
127565,78125
127566,79295
127567,68150,69156,69232,69265,69319,69441,69483,69515,69537,69681,76168,76560
127568,69156,69232,69265,69319,69483,69537,69681
127569,69483,69681
127570,69156,69265,69319,69483,69681
127571,76658
127572,79240
127573,76767
127574,79512
127575,76865
127576,78049
127577,79512
127578,76767
127579,79240
127580,79512
127581,79512
127582,79512
127583,79240
127649,62441
127650,67111
127774,72667
127775,77533
127776,74809
127777,76124
127778,76778,78103,79088
127779,76778,78103,79088
127780,76778,79088
127781,76756
127782,79708
127783,79055
127784,79284
127785,73586
127786,75728
127787,79741
127788,77555
127789,76887,76908,78060,79665
127790,79839
127791,76887,76908,78060,79665
127792,78051
127793,78082
127794,79719
127795,79207
127796,76701
127797,76614
127799,77108
127801,77511,79676
127802,77511,79676
127803,74668
127810,35239
127811,35130
127812,32134,35196,35217,35250
127813,32134,35196,35217,35250
127814,35217,35250
127815,35272
127822,50574
127823,57169
127824,57158
127825,57049
127826,57016
127827,57016
127828,57051
127829,57051
128154,79251
128155,76113
128156,76832
129158,69101
129159,68117,68161
129160,68117,68161
129161,68128
129162,69635
129168,65459
129169,65252
129757
129758
129785,30002
129786,30166
129787,30002
130058,27123
130059,27276
130060,27189,27561
130061,27515
130062,27189,27561
130924,65221
130925,65208
130939,68215,76625,79099
130940,68139,68215,69613
130941,68139,68215,69276,69613,79556
130942,68215,69613
130943,76625,79099
130944,68139,68215,69276,69613,76930,79556
130945,76625,79099
130946,68139,68215,69276,69613,76930,79556
132124,74515,74624,77032,77065
132125,74515,74624,77032
132126,74515,77032,77065
132127,77010
132128,74515,77032
